median_income,median_rent,total_pop,male_white_20_24,male_white_25_29,male_white_30_34,female_white_20_24,female_white_25_29,female_white_30_34,year,prop_white_20_34,TRACT,FIPS,YEAR,25% Quartile of Appraised Value,75% Quartile of Appraised Value,Count of Appraisals,Mean Appraised Value,Median Appraised Value,zhvi
30221,707,3551,9,28,0,68,0,0,2013,0.029569135454801464,22071003308,22071,2013,108000.0,175000.0,15.0,146500.0,150000.0,140626.58780309712
69395,1108,1691,53,129,59,47,109,71,2014,0.2767593140153755,22071010700,22071,2014,554000.0,835000.0,19.0,716200.0,585000.0,150538.2004081789
114750,1350,1442,10,82,39,15,39,55,2014,0.1664355062413315,22071011600,22071,2014,625000.0,1025000.0,18.0,917400.0,980000.0,150538.2004081789
43864,1043,2600,24,121,19,114,86,49,2014,0.15884615384615386,22071013200,22071,2014,190000.0,341500.0,21.0,316300.0,230000.0,150538.2004081789
53023,1172,3587,0,32,23,12,28,0,2014,0.02648452746027321,22071003302,22071,2014,173500.0,256000.0,52.0,229200.0,200000.0,150538.2004081789
142000,625,1528,15,7,12,4,7,45,2014,0.058900523560209424,22071000612,22071,2014,445000.0,642000.0,42.0,535100.0,518000.0,150538.2004081789
28847,1044,3365,0,0,0,0,0,0,2014,0.0,22071001720,22071,2014,95000.0,133000.0,13.0,113100.0,107000.0,150538.2004081789
53917,970,1577,10,43,52,27,46,60,2014,0.15091946734305645,22071004100,22071,2014,483000.0,700000.0,17.0,606300.0,545000.0,150538.2004081789
78750,1066,1147,36,111,81,58,62,62,2014,0.35745422842197033,22071008300,22071,2014,349500.0,932800.0,24.0,714500.0,516500.0,150538.2004081789
52270,1072,3080,63,163,77,146,173,15,2014,0.20681818181818182,22071009900,22071,2014,410000.0,720000.0,38.0,674400.0,510000.0,150538.2004081789
67404,1163,3507,118,158,76,134,160,127,2014,0.22041631023666952,22071010900,22071,2014,400000.0,880000.0,29.0,671900.0,515000.0,150538.2004081789
35431,882,1842,37,50,123,58,64,32,2014,0.1976112920738328,22071013000,22071,2014,210000.0,400000.0,18.0,288200.0,313000.0,150538.2004081789
53958,1227,2328,5,55,17,21,27,32,2014,0.06743986254295532,22071002503,22071,2014,143500.0,232500.0,36.0,195000.0,196000.0,150538.2004081789
76328,1176,1891,96,98,32,39,147,153,2014,0.298783712321523,22071008800,22071,2014,322500.0,512500.0,28.0,418200.0,385500.0,150538.2004081789
89185,653,2182,29,95,25,15,16,14,2014,0.08890925756186985,22071013302,22071,2014,352000.0,457500.0,32.0,423800.0,405000.0,150538.2004081789
54500,1122,1436,52,183,73,12,133,51,2014,0.35097493036211697,22071001800,22071,2014,339000.0,438500.0,21.0,434600.0,385000.0,150538.2004081789
29950,917,2917,0,8,17,0,24,17,2014,0.022625985601645526,22071002402,22071,2014,105000.0,174000.0,17.0,144400.0,166000.0,150538.2004081789
46178,1128,2250,7,6,13,0,5,14,2014,0.02,22071002504,22071,2014,150000.0,213000.0,30.0,183600.0,187000.0,150538.2004081789
43077,1157,2269,0,42,8,30,29,34,2014,0.06302335830762451,22071003701,22071,2014,160000.0,215000.0,13.0,195200.0,180000.0,150538.2004081789
47656,1048,2893,55,157,163,34,187,196,2014,0.2737642585551331,22071004600,22071,2014,305000.0,440000.0,17.0,411900.0,400000.0,150538.2004081789
